,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,Prediction
0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,0
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,1
2,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,1
3,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,1
4,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
5,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,0
6,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,0
7,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,0
8,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,1
9,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,1
10,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,1
11,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,1
12,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
13,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,0
14,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,0
15,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,1
16,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,0
17,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,1
18,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,0
19,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,1
20,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,0
21,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,1
22,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,1
23,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,1
24,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,0
25,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,1
26,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,0
27,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,0
